Pasco,Pasco,46.2499,-119.1271,United States,US,USA,Washington,,70579,1840019888
Issaquah,Issaquah,47.5414,-122.0436,United States,US,USA,Washington,,37322,1840018422
Toppenish,Toppenish,46.3807,-120.3125,United States,US,USA,Washington,,14550,1840021151
Orting,Orting,47.0967,-122.2113,United States,US,USA,Washington,,7693,1840019858
Fircrest,Fircrest,47.2308,-122.5157,United States,US,USA,Washington,,6780,1840019854
Vancouver,Vancouver,45.6352,-122.5972,United States,US,USA,Washington,,174826,1840021189
Battle Ground,Battle Ground,45.7763,-122.5415,United States,US,USA,Washington,,20110,1840018523
College Place,College Place,46.043,-118.3869,United States,US,USA,Washington,,9142,1840018490
Mount Vernon,Mount Vernon,48.4203,-122.3114,United States,US,USA,Washington,,68613,1840019774
Ferndale,Ferndale,48.8525,-122.5893,United States,US,USA,Washington,,13403,1840019751
Aberdeen,Aberdeen,46.9768,-123.8083,United States,US,USA,Washington,,28863,1840018446
Everett,Everett,47.9524,-122.1672,United States,US,USA,Washington,,109043,1840019785
Burien,Burien,47.4761,-122.3393,United States,US,USA,Washington,,50997,1840018420
Manassas Park,Manassas Park,38.7717,-77.4448,United States,US,USA,Virginia,,15915,1840003838
Fairfax,Fairfax,38.8531,-77.2998,United States,US,USA,Virginia,,24164,1840001650
Big Stone Gap,Big Stone Gap,36.8615,-82.7774,United States,US,USA,Virginia,,7885,1840006481
Waynesboro,Waynesboro,38.0673,-78.9012,United States,US,USA,Virginia,,21887,1840003848
Lexington,Lexington,37.7825,-79.444,United States,US,USA,Virginia,,8765,1840001689
Winchester,Winchester,39.1734,-78.1745,United States,US,USA,Virginia,,72928,1840001623
Orange,Orange,38.2484,-78.1125,United States,US,USA,Virginia,,5179,1840006268
Strasburg,Strasburg,38.9944,-78.3541,United States,US,USA,Virginia,,7218,1840006004
Radford,Radford,37.1229,-80.5583,United States,US,USA,Virginia,,17483,1840003864
Richmond,Richmond,37.5294,-77.4755,United States,US,USA,Virginia,admin,1041877,1840001698
Virginia Beach,Virginia Beach,36.7335,-76.0435,United States,US,USA,Virginia,,1487505,1840003871
Herndon,Herndon,38.9699,-77.3867,United States,US,USA,Virginia,,24393,1840006037
Chesapeake,Chesapeake,36.6778,-76.3024,United States,US,USA,Virginia,,237940,1840003874
Purcellville,Purcellville,39.1378,-77.7109,United States,US,USA,Virginia,,14645,1840005875
Covington,Covington,37.7786,-79.9868,United States,US,USA,Virginia,,7804,1840001688
Charlottesville,Charlottesville,38.0374,-78.4856,United States,US,USA,Virginia,,99664,1840001678
Smithfield,Smithfield,36.9753,-76.6162,United States,US,USA,Virginia,,10652,1840006487
Norfolk,Norfolk,36.8945,-76.259,United States,US,USA,Virginia,,245115,1840003869
Dumfries,Dumfries,38.567,-77.3234,United States,US,USA,Virginia,,5186,1840006102
Petersburg,Petersburg,37.2042,-77.3914,United States,US,USA,Virginia,,31882,1840003861
Clifton Forge,Clifton Forge,37.8232,-79.825,United States,US,USA,Virginia,,5080,1840006365
Falls Church,Falls Church,38.8846,-77.1751,United States,US,USA,Virginia,,14014,1840003835
Rocky Mount,Rocky Mount,37.0045,-79.8855,United States,US,USA,Virginia,,6047,1840006479
Galax,Galax,36.666,-80.9176,United States,US,USA,Virginia,,6652,1840003877
Farmville,Farmville,37.2968,-78.3993,United States,US,USA,Virginia,,8916,1840006443
Martinsville,Martinsville,36.6827,-79.8636,United States,US,USA,Virginia,,34132,1840001727
Danville,Danville,36.5831,-79.4088,United States,US,USA,Virginia,,48015,1840003878
Manassas,Manassas,38.748,-77.484,United States,US,USA,Virginia,,41483,1840003839
Suffolk,Suffolk,36.6953,-76.6398,United States,US,USA,Virginia,,89273,1840003873
Harrisonburg,Harrisonburg,38.4362,-78.8735,United States,US,USA,Virginia,,72470,1840003844
Fredericksburg,Fredericksburg,38.2992,-77.4871,United States,US,USA,Virginia,,164610,1840003845
Warrenton,Warrenton,38.7177,-77.7973,United States,US,USA,Virginia,,9861,1840006058
Marion,Marion,36.8389,-81.5135,United States,US,USA,Virginia,,7808,1840006515
Broadway,Broadway,38.6083,-78.8016,United States,US,USA,Virginia,,6513,1840006136
Bridgewater,Bridgewater,38.3863,-78.9674,United States,US,USA,Virginia,,6048,1840006135
Culpeper,Culpeper,38.4705,-78.0002,United States,US,USA,Virginia,,19544,1840006169
Vinton,Vinton,37.2747,-79.8886,United States,US,USA,Virginia,,8185,1840003856
